metric;0,524288,722338,0,0
metric;1,524288,722338,0,0
metric;2,524288,722338,0,0
metric;3,524288,660314,0,0
metric;4,524288,660314,0,0
metric;5,524288,722338,0,0
metric;6,786432,722338,0,0
metric;7,524288,722338,0,0
metric;8,524288,722338,0,0
metric;9,524288,660314,0,0
metric;10,291269,660314,0,0
metric;11,466040,0,203888,0
metric;12,524288,0,203888,0
metric;13,291269,110683,203888,0
metric;14,407424,515549,0,0
metric;15,407424,515549,0,0
metric;16,494928,722338,0,0
metric;17,494928,722338,0,0
metric;18,494928,110683,203888,0
metric;19,582536,515549,0,0
metric;20,582536,515549,0,0
metric;21,524288,290456,0,28078
metric;22,1048576,290456,0,28078
metric;23,0,451464,0,0
metric;24,410693,374341,58720,0
metric;25,291269,451464,0,0
metric;26,320392,451464,203888,0
metric;27,611634,722338,0,75963
metric;28,582536,722338,0,0
metric;29,582536,722338,0,0
metric;30,873778,722338,0,0
metric;31,873778,722338,0,0
metric;32,524288,253406,101946,0
metric;33,291269,722338,0,0
metric;34,391931,722338,0,0
metric;35,873778,722338,203888,0
metric;36,524288,786432,58720,0
metric;37,873778,786432,58720,0
metric;38,815582,722338,0,0
metric;39,291269,722338,0,0
metric;40,407792,786432,262144,0
metric;41,407792,786432,262144,0
metric;42,524288,786432,0,0
metric;43,815582,611320,87032,0
metric;44,291269,110683,203888,0
metric;45,349525,253406,0,0
metric;46,291269,110683,0,0
metric;47,524288,786432,262144,0
metric;48,524288,660314,0,0
metric;49,524288,660314,0,0
metric;50,524288,660314,0,0
metric;51,524288,660314,0,0
metric;52,524288,660314,0,0
metric;53,524288,660314,0,0
metric;54,524288,660314,0,0
metric;55,524288,660314,0,0
metric;56,524288,660314,0,0
metric;57,524288,660314,0,0
metric;58,291269,451464,0,0
metric;59,291269,451464,203888,0
metric;60,815582,563085,41942,0
metric;61,815582,374341,0,0
metric;62,815582,563085,41942,0
metric;63,495138,722338,0,0
metric;64,815582,722338,0,0
metric;65,786432,722338,0,0
metric;66,742706,722338,0,0
metric;67,757282,722338,0,0
metric;68,801008,722338,0,0
metric;69,713608,722338,0,0
metric;70,684510,722338,0,0
metric;71,822818,722338,0,0
metric;72,786432,722338,0,0
metric;73,378640,722338,0,0
metric;74,538864,722338,0,0
metric;75,815582,722338,0,0
metric;76,655360,722338,0,0
metric;77,961230,722338,0,0
metric;78,786432,722338,0,0
metric;79,815582,722338,0,0
metric;80,713608,722338,0,0
metric;81,815582,722338,203888,0
metric;82,771856,722338,0,24816
metric;83,582536,722338,0,0
metric;84,757282,722338,0,0
metric;85,786432,722338,0,0
metric;86,786432,722338,0,8155
metric;87,1077726,722338,0,9437
metric;88,786432,722338,0,3962
metric;89,786432,722338,0,16544
metric;90,640784,722338,0,0
metric;91,291269,786432,262144,5243
metric;92,524288,786432,262144,0
metric;93,291269,786432,262144,0
metric;94,582536,786432,0,34837
metric;95,786432,0,144704,29126
metric;96,291269,722338,0,0
metric;97,524288,451464,0,11301
