metric;0,695774,722338,0,0
metric;1,928448,748684,0,0
metric;2,866516,722338,0,0
metric;3,772604,748684,0,0
metric;4,742786,722338,0,0
metric;5,834536,722338,0,0
metric;6,804652,722338,0,0
metric;7,866516,722338,0,0
metric;8,804652,722338,0,0
metric;9,866516,722338,0,0
metric;10,804652,722338,0,0
metric;11,649920,722338,0,76522
metric;12,618966,722338,0,0
metric;13,618966,722338,0,0
metric;14,928448,722338,0,0
metric;15,928448,722338,0,0
metric;16,309482,451478,0,0
metric;17,340426,451478,203890,0
metric;18,557056,722338,0,0
metric;19,557056,722338,0,0
metric;20,557056,722338,0,0
metric;21,557056,722338,0,0
metric;22,557056,642776,0,0
metric;23,834536,722338,0,0
metric;24,495190,0,203890,0
metric;25,557056,722338,0,0
metric;26,804652,451478,0,0
metric;27,866516,451478,0,0
metric;28,557056,560988,109052,0
metric;29,1005256,722338,0,0
metric;30,1129054,722338,0,0
metric;31,866516,786432,60818,0
metric;32,309482,406846,0,13248
metric;33,309482,722338,0,0
metric;34,526648,722338,0,0
metric;35,928448,722338,203882,0
metric;36,557056,786432,58720,0
metric;37,928448,786432,58720,0
metric;38,866516,722338,0,0
metric;39,309482,722338,0,0
metric;40,433280,786432,262144,0
metric;41,433280,786432,262144,0
metric;42,557056,786432,0,0
metric;43,866516,642776,109052,0
metric;44,309482,116508,203882,0
metric;45,371370,253406,0,0
metric;46,309482,116508,0,0
metric;47,557056,786432,262144,0
metric;48,557056,675742,0,0
metric;49,557056,675742,0,0
metric;50,557056,675742,0,0
metric;51,557056,675742,0,0
metric;52,557056,675742,0,0
metric;53,557056,675742,0,0
metric;54,557056,675742,0,0
metric;55,557056,675742,0,0
metric;56,557056,675742,0,0
metric;57,557056,675742,0,0
metric;58,309482,451478,0,0
metric;59,309482,451478,203882,0
metric;60,309482,515550,203890,0
metric;61,866516,406846,0,0
metric;62,526124,515550,203890,0
metric;63,526124,722338,0,0
metric;64,866516,722338,0,0
metric;65,834536,722338,0,0
metric;66,788660,722338,0,0
metric;67,804652,722338,0,0
metric;68,850526,722338,0,0
metric;69,757662,722338,0,0
metric;70,726728,722338,0,0
metric;71,873988,722338,0,0
metric;72,834536,722338,0,0
metric;73,401212,722338,0,0
metric;74,571998,722338,0,0
metric;75,865468,722338,0,0
metric;76,695774,722338,0,0
metric;77,1020198,722338,0,0
metric;78,834536,722338,0,0
metric;79,866516,722338,0,0
metric;80,757662,722338,0,0
metric;81,866516,722338,203882,0
metric;82,819594,722338,0,25352
metric;83,618966,722338,0,0
metric;84,804652,722338,0,0
metric;85,834536,722338,0,0
metric;86,834536,722338,0,5172
metric;87,1143996,722338,0,7108
metric;88,834536,722338,0,0
metric;89,834536,722338,0,12512
metric;90,680854,722338,0,0
metric;91,309482,786432,262144,3812
metric;92,526648,722338,0,0
metric;93,309482,786432,262144,0
metric;94,557056,722338,0,0
metric;95,309482,675742,0,0
metric;96,309482,722338,0,0
metric;97,557056,451478,0,11040
metric;98,618966,722338,0,0
metric;99,495190,451478,0,0
metric;100,618966,722338,0,0
metric;101,495190,451478,0,0
metric;102,340426,722338,0,84012
metric;103,557056,451478,203890,12088
metric;104,618966,722338,0,0
metric;105,309482,675742,0,0
metric;106,340426,675742,203890,0
metric;107,587988,722338,0,9438
metric;108,309482,722338,0,0
metric;109,928448,451478,0,0
metric;110,618966,451478,0,0
metric;111,557056,451478,0,0
metric;112,618966,451478,203882,0
metric;113,587988,451478,203882,23068
metric;114,434176,451478,0,0
metric;115,439484,451478,0,0
metric;116,433280,642776,0,0
metric;117,618966,451478,0,0
metric;118,587988,451478,0,5242
metric;119,804652,451478,0,5662
metric;120,587988,451478,0,11534
metric;121,587988,451478,203890,5242
metric;122,495190,451478,0,0
metric;123,557056,293602,0,27816
metric;124,1114112,293602,0,28602
metric;125,557056,722338,0,0
metric;126,557056,675742,0,0
metric;127,557056,675742,0,0
metric;128,834536,965738,0,0
metric;129,834536,722338,203890,0
metric;130,804652,965738,0,0
metric;131,804652,920648,0,0
metric;132,850526,920648,0,0
metric;133,757662,920648,0,0
metric;134,757662,722338,203890,0
metric;135,873988,965738,0,0
metric;136,695774,965738,0,0
metric;137,695774,722338,0,0
metric;138,695774,722338,0,0
metric;139,834536,965738,0,0
metric;140,834536,920648,0,0
metric;141,834536,722338,0,0
metric;142,866516,965738,0,0
metric;143,819594,965738,0,25352
metric;144,819594,920648,0,25352
metric;145,618966,965738,0,0
metric;146,618966,920648,0,0
metric;147,618966,722338,203890,0
metric;148,804652,920648,0,0
metric;149,804652,722338,203890,0
metric;150,834536,965738,0,0
metric;151,834536,920648,0,0
metric;152,834536,873988,0,12512
metric;153,680854,965738,0,0
metric;154,680854,920648,0,0
metric;155,680854,920648,0,0
metric;156,933102,722338,0,0
metric;157,401212,920648,0,0
metric;158,618966,722338,0,0
metric;159,545390,722338,203890,0
metric;160,557056,722338,0,11040
metric;161,557056,451478,203890,11290
metric;162,495190,722338,0,0
metric;163,495190,722338,0,0
metric;164,618966,722338,0,48750
metric;165,495190,722338,0,0
metric;166,495190,451478,203890,0
metric;167,557056,722338,203890,12088
metric;168,309482,965738,0,26710
metric;169,309482,722338,0,57288
metric;170,374472,722338,0,0
metric;171,618966,722338,0,0
metric;172,618966,722338,0,0
metric;173,564264,451478,203890,0
metric;174,557056,722338,0,0
metric;175,434176,722338,0,0
metric;176,434176,722338,0,0
metric;177,439484,722338,0,0
metric;178,439484,722338,0,0
metric;179,439484,451478,203890,0
metric;180,433280,722338,0,0
metric;181,433280,642776,203890,0
metric;182,618966,722338,0,0
metric;183,618966,722338,0,0
metric;184,587988,675742,203890,5242
metric;185,495190,722338,0,0
metric;186,495190,722338,0,0
metric;187,495190,675742,0,0
metric;188,618966,675742,203890,0
metric;189,866516,406846,0,0
metric;190,422708,722338,0,0
metric;191,834536,722338,35652,0
metric;192,834536,965738,0,0
metric;193,834536,965738,0,0
metric;194,834536,920648,0,0
metric;195,834536,873988,0,0
metric;196,834536,873988,0,0
metric;197,834536,920648,0,0
metric;198,618966,515550,0,0
metric;199,804652,722338,203890,0
metric;200,757662,965738,0,0
metric;201,757662,965738,0,0
metric;202,757662,920648,0,0
metric;203,757662,873988,0,0
metric;204,401212,965738,0,0
metric;205,401212,965738,0,0
metric;206,401212,920648,0,0
metric;207,401212,873988,0,0
metric;208,850526,722338,0,0
metric;209,834536,873988,0,0
metric;210,866516,965738,0,0
metric;211,866516,965738,0,0
metric;212,866516,920648,0,0
metric;213,866516,873988,0,0
metric;214,866516,873988,0,0
metric;215,618966,515550,0,0
metric;216,1261436,786432,58720,0
metric;217,834536,965738,0,0
metric;218,834536,965738,0,0
metric;219,834536,920648,0,0
metric;220,834536,873988,0,0
metric;221,834536,965738,0,12512
metric;222,695774,722338,0,0
metric;223,1237976,722338,0,0
metric;224,557056,722338,0,11040
metric;225,557056,722338,0,11040
metric;226,557056,722338,0,11040
metric;227,557056,675742,0,11040
metric;228,557056,675742,0,11040
metric;229,557056,722338,0,11040
metric;230,834536,0,147850,29288
metric;231,495190,451478,203890,0
metric;232,495190,722338,0,0
metric;233,495190,722338,0,0
metric;234,495190,722338,0,0
metric;235,495190,675742,0,0
metric;236,309482,722338,0,0
metric;237,309482,722338,0,13248
metric;238,309482,722338,0,34220
metric;239,309482,675742,0,21638
metric;240,557056,722338,0,0
metric;241,618966,675742,0,0
metric;242,557056,722338,0,0
metric;243,557056,722338,0,0
metric;244,557056,722338,0,0
metric;245,557056,675742,0,0
metric;246,557056,675742,0,0
metric;247,866516,642776,109052,0
metric;248,866516,642776,109052,0
metric;249,618966,722338,0,0
metric;250,618966,722338,0,0
metric;251,618966,722338,0,0
metric;252,618966,675742,0,0
metric;253,587988,722338,203890,5242
metric;254,618966,722338,203882,0
metric;255,526648,116508,203890,0
param;1,0
param;2,371376
param;3,185688
param;4,123792
param;5,451478
param;6,1114112
param;7,123792
param;8,716506
param;9,728170
param;10,0
param;11,203890
param;12,978322
param;13,306184
param;14,557056
param;15,96484
param;16,1258292
param;17,80100
param;18,61896
param;19,21846
param;20,32768
param;21,34588
fi;12,0,2,0
ff;11,0,2,0
fl;13,0,2,0
ffi;14,0,3,0
ffl;15,0,3,0
AV;65,0,1,-123792;86,1,2,0
To;84,0,1,-92844;111,1,2,0
WA;87,0,1,-123792;65,1,2,0
office;111,0,1,0;14,1,4,0;99,4,5,0;101,5,6,0
wo;119,0,1,-30948;111,1,2,0
